ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11230,동대문구,11000,이문동,1,대지,0311,0000,래미안이문2차,2024-04-06,70500,59.79,0.0,2.0,,20240406,2004,아파트,중개거래,서울 동대문구
2024,11710,송파구,10800,문정동,1,대지,0652,0001,프라비다옥토,2024-04-05,18000,19.74,29.29,8.0,,,2016,오피스텔,직거래,
2024,11620,관악구,10200,신림동,1,대지,1572,0013,금호맨션9차,2024-04-05,30000,60.44,30.64,3.0,,,2002,연립다세대,중개거래,서울 관악구
2024,11410,서대문구,11100,홍제동,1,대지,0331,0000,홍제현대,2024-04-05,74600,75.15,0.0,8.0,,,1992,아파트,중개거래,서울 서대문구
2024,11110,종로구,18300,평창동,1,대지,0046,0001,크래스빌,2024-04-05,102000,175.81,0.0,2.0,,,2003,아파트,중개거래,서울 종로구
2024,11650,서초구,10800,서초동,1,대지,1337,0021,현대썬앤빌 서초,2024-04-05,20000,19.42,28.04,8.0,,,2015,오피스텔,직거래,
2024,11650,서초구,10200,양재동,1,대지,0300,0013,극동빌라,2024-04-05,45000,30.44,14.31,3.0,,,1993,연립다세대,중개거래,서울 강남구
2024,11440,마포구,10400,도화동,1,대지,0173,0000,삼창주택,2024-04-05,13000,24.24,24.24,13.0,,,1987,오피스텔,중개거래,서울 마포구
2024,11740,강동구,10500,길동,1,대지,0415,0016,청광플러스원큐브3차,2024-04-05,11500,17.69,25.11,4.0,,,2014,오피스텔,직거래,
2024,11680,강남구,10600,대치동,1,대지,0943,0024,신안메트로칸,2024-04-05,28000,30.11,43.48,12.0,,,2004,오피스텔,중개거래,서울 서초구
2024,11110,종로구,13700,낙원동,1,대지,0058,0001,종로오피스텔,2024-04-05,14900,25.2,32.58,6.0,,,1994,오피스텔,중개거래,서울 종로구
